1,2100.0,12,24,26
2,2100.0,12,24,28
3,2100.0,12,24,34
1,2100.0,12,60,21
2,2100.0,12,60,18
3,2100.0,12,60,23
1,2100.0,12,120,22
2,2100.0,12,120,24
3,2100.0,12,120,21
1,2100.0,12,240,16
2,2100.0,12,240,18
3,2100.0,12,240,12
1,2100.0,12,720,2
2,2100.0,12,720,0
3,2100.0,12,720,3
1,2100.0,24,24,28
2,2100.0,24,24,27
3,2100.0,24,24,27
1,2100.0,24,60,19
2,2100.0,24,60,22
3,2100.0,24,60,25
1,2100.0,24,120,21
2,2100.0,24,120,18
3,2100.0,24,120,17
1,2100.0,24,240,17
2,2100.0,24,240,13
3,2100.0,24,240,16
1,2100.0,24,720,3
2,2100.0,24,720,3
3,2100.0,24,720,0
1,2100.0,60,24,29
2,2100.0,60,24,31
3,2100.0,60,24,28
1,2100.0,60,60,29
2,2100.0,60,60,23
3,2100.0,60,60,24
1,2100.0,60,120,19
2,2100.0,60,120,20
3,2100.0,60,120,20
1,2100.0,60,240,14
2,2100.0,60,240,14
3,2100.0,60,240,13
1,2100.0,60,720,3
2,2100.0,60,720,1
3,2100.0,60,720,1
1,2100.0,120,24,31
2,2100.0,120,24,32
3,2100.0,120,24,29
1,2100.0,120,60,25
2,2100.0,120,60,30
3,2100.0,120,60,29
1,2100.0,120,120,28
2,2100.0,120,120,30
3,2100.0,120,120,26
1,2100.0,120,240,16
2,2100.0,120,240,15
3,2100.0,120,240,19
1,2100.0,120,720,4
2,2100.0,120,720,4
3,2100.0,120,720,1
1,2100.0,240,24,29
2,2100.0,240,24,26
3,2100.0,240,24,28
1,2100.0,240,60,30
2,2100.0,240,60,29
3,2100.0,240,60,28
1,2100.0,240,120,19
2,2100.0,240,120,15
3,2100.0,240,120,21
1,2100.0,240,240,12
2,2100.0,240,240,8
3,2100.0,240,240,15
1,2100.0,240,720,3
2,2100.0,240,720,5
3,2100.0,240,720,1
1,2100.0,720,24,2
2,2100.0,720,24,3
3,2100.0,720,24,4
1,2100.0,720,60,0
2,2100.0,720,60,1
3,2100.0,720,60,1
1,2100.0,720,120,0
2,2100.0,720,120,3
3,2100.0,720,120,3
1,2100.0,720,240,4
2,2100.0,720,240,4
3,2100.0,720,240,0
1,2100.0,720,720,0
2,2100.0,720,720,0
3,2100.0,720,720,0
